embedding,encoder,tagset,link,metric,set,precision,recall,f1
latin-bert,lstm,bioj,td,mpbm,test,0.48854961832061067,0.3958762886597938,0.43735763097949887
latin-bert,lstm,bioj,td,mbawo,training,0.9460457705677868,0.9443360080965807,0.9451901161318331
latin-bert,lstm,bioj,td,mbawo,validation,0.5787878787878787,0.3948320413436692,0.46943164362519196
latin-bert,lstm,bioj,td,mbawo,optimization,0.5480028030833918,0.41975308641975306,0.47537993920972643
latin-bert,lstm,bioj,td,mbawo,test,0.5610607117934403,0.3884057971014493,0.459035112760491
latin-bert,lstm,bioj,td,mwo,training,0.9612543453070683,0.9595170967975132,0.9603849354220179
latin-bert,lstm,bioj,td,mwo,validation,0.6212121212121212,0.42377260981912146,0.5038402457757297
latin-bert,lstm,bioj,td,mwo,optimization,0.6166783461807989,0.4723564143853999,0.5349544072948328
latin-bert,lstm,bioj,td,mwo,test,0.6182833217027216,0.4280193236714976,0.5058521267485013
latin-bert,lstm,biom,bd,epm,training,0.35938425103611604,0.4191988950276243,0.38699394325788966
latin-bert,lstm,biom,bd,epm,validation,0.2403846153846154,0.2403846153846154,0.2403846153846154
latin-bert,lstm,biom,bd,epm,optimization,0.329608938547486,0.3089005235602094,0.31891891891891894
latin-bert,lstm,biom,bd,epm,test,0.270935960591133,0.2558139534883721,0.26315789473684215
latin-bert,lstm,biom,bd,mpbm,training,0.4181062759676361,0.5857843137254902,0.4879418144698227
latin-bert,lstm,biom,bd,mpbm,validation,0.3282312925170068,0.40376569037656906,0.36210131332082557
latin-bert,lstm,biom,bd,mpbm,optimization,0.37606837606837606,0.41509433962264153,0.3946188340807175
latin-bert,lstm,biom,bd,mpbm,test,0.3464163822525597,0.41855670103092785,0.3790849673202614
latin-bert,lstm,biom,bd,mbawo,training,0.5115993754182467,0.6631967035350249,0.5776168739178341
latin-bert,lstm,biom,bd,mbawo,validation,0.40420667581161407,0.4568475452196382,0.4289180009704027
latin-bert,lstm,biom,bd,mbawo,optimization,0.4581673306772908,0.49382716049382713,0.47532937225523114
latin-bert,lstm,biom,bd,mbawo,test,0.4616771866546438,0.49468599033816424,0.47761194029850745
latin-bert,lstm,biom,bd,mwo,training,0.5500780727191613,0.7130774235523748,0.6210609161026287
latin-bert,lstm,biom,bd,mwo,validation,0.44215820759030633,0.4997416020671835,0.46918971373119844
latin-bert,lstm,biom,bd,mwo,optimization,0.4910358565737052,0.5292538915727322,0.5094290880909327
latin-bert,lstm,biom,bd,mwo,test,0.5040577096483319,0.5400966183574879,0.5214552238805971
latin-bert,lstm,biom,td,epm,training,0.5806938159879337,0.5317679558011049,0.5551550108147081
latin-bert,lstm,biom,td,epm,validation,0.32919254658385094,0.2548076923076923,0.28726287262872624
